 ;;;;;;
;;;;;;
;;;;;;
Friday, August 21, 2015;American Ultra;Hitman: Agent 47;Sinister 2;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, August 28, 2015;Regression;We Are Your Friends;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Wednesday, September 2, 2015;A Walk in the Woods;No Escape;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 4, 2015;Jane Got a Gun;The Transporter Refueled;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 11, 2015;The Visit;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 18, 2015;Black Mass;Captive;Everest;Maze Runner: The Scorch Trials;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 25, 2015;Hotel Transylvania 2;The Intern;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 2, 2015;The Martian;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 9, 2015;Pan;Steve Jobs;The Walk;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 16, 2015;Bridge of Spies;Crimson Peak;Goosebumps;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 23, 2015;Burnt;Jem and the Holograms;Paranormal Activity: The Ghost Dimension;Rock the Kasbah;The Last Witch Hunter;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 30, 2015;Our Brand Is Crisis;Scout's Guide to the Zombie Apocalypse;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 6, 2015;Spectre;The Peanuts Movie;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 13, 2015;By the Sea;Love the Coopers;The 33;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 20, 2015;Secret in their Eyes;The Hunger Games: Mockingjay Part 2;The Night Before;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Wednesday, November 25, 2015;Creed;The Good Dinosaur;Victor Frankenstein;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, December 4, 2015;Krampus;;;;;
 ;;;;;;
;;;;;;
;;;;;;
